cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,learningRate,regularization,scores,seed
0.5331992780777691,0.5275053561407462,0.5296690371316073,0.5333240953899446,0.5895042591969037,0.5426404051873942,0.023534975763105877,0.4187030625324944,0.41895131400188695,0.4191853193349401,0.4182704920338507,0.41835000187457283,0.418692037955549,3.479545296573794E-4,100,2,0.002,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,10,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,10,0.001,0.05,[D@7cef4e59,4815162342
0.7146569217819939,0.5810400416757532,0.6325649652602264,0.7230200031029765,0.6327383932762414,0.6568040650194383,0.05410800539417904,0.4308316363001443,0.43117650235013705,0.4315199616390915,0.43070241949490595,0.4305565564007205,0.4309574152369998,3.48134627325358E-4,100,4,0.002,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,10,0.002,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,2,0.002,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,2,0.001,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,8,0.003,0.05,[D@7cef4e59,4815162342
0.7023742629829423,0.6975624747683681,0.7149380057362654,0.6954743871599964,0.7033516590282458,0.7027401579351636,0.006766019976540675,0.45754046181736174,0.45515338191713545,0.4566314255258168,0.45769084322947606,0.45672881949895777,0.4567489863977495,9.026304395811685E-4,100,6,0.002,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,4,0.001,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,4,0.002,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,6,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8,0.002,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8,0.004,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,6,0.004,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,4,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,10,0.004,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,10,0.002,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,8,0.004,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,2,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,10,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,10,0.004,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,8,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,6,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2,0.004,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,4,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,4,0.004,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,6,0.004,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8,0.004,0.05,[D@7cef4e59,4815162342
0.7142415146634029,0.7131021744180575,0.7381764831364377,0.7132153636072593,0.7238063299319755,0.7205083731514266,0.009698988736638523,0.4719371230692123,0.46989585532264444,0.471188992521945,0.4720003905016768,0.4711069971337882,0.47122587170985336,7.60288456397614E-4,75,6,0.002,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,10,0.004,0.05,[D@7cef4e59,4815162342
0.7469559887752583,0.7471295128303816,0.7449518503069416,0.7427923067801563,0.7451476735784295,0.7453954664542335,0.0015796698157037878,0.5659314961379923,0.5649155074463512,0.565153726933457,0.5683922166543559,0.5670473426955394,0.5662880579735392,0.001288544546677817,75,8,0.002,0.2,[D@7cef4e59,4815162342
0.7483673995455556,0.7496930563975251,0.7446890648329604,0.7474644678552121,0.7469968117130487,0.7474421600688604,0.0016553530466292235,0.6146757221208572,0.6145776117252885,0.6157703871684563,0.6171826436368707,0.6163115449927243,0.6157035819288394,9.885353051260082E-4,75,10,0.002,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2,0.002,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2,0.004,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,4,0.002,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,4,0.004,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,6,0.002,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,6,0.004,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8,0.001,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,10,0.001,0.1,[D@7cef4e59,4815162342
0.5251815189471648,0.5841264869444385,0.5808127873330372,0.5282738458757259,0.5835789339059634,0.560394714601266,0.02752933741757603,0.4326612387891176,0.43260966059997774,0.4331366627374521,0.4324057883031078,0.43237592947617126,0.43263785598116533,2.7298747830727105E-4,50,2,0.002,0.2,[D@7cef4e59,4815162342
0.6685821788286588,0.6157552092833833,0.709325553935814,0.7092089139095231,0.6241103617845806,0.6653964435483919,0.04007054003782038,0.4600493723305,0.4604394136697889,0.4604033326331161,0.4600819350272311,0.45972271042142526,0.4601393528164123,2.6256657632535343E-4,50,4,0.002,0.2,[D@7cef4e59,4815162342
0.754765669829652,0.7244249911131733,0.7565534290160589,0.7616258260428131,0.7340245277132403,0.7462788887429876,0.014428321602892685,0.4947539168686851,0.49366254116837904,0.494600393331113,0.49485544584091684,0.4943644550062127,0.4944473504430613,4.258507258961604E-4,50,6,0.002,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,10,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2,0.001,0.05,[D@7cef4e59,4815162342
0.7663287401744169,0.7772311163947274,0.76821188712024,0.7657654214215271,0.7772789004688047,0.7709632131159432,0.005200763231107533,0.5648730796459948,0.5644523797445489,0.5645055129265917,0.5672791935108079,0.5653045554193731,0.5652829442494631,0.0010438107115627686,50,8,0.002,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2,0.002,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,8,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,4,0.002,0.1,[D@7cef4e59,4815162342
0.7571259081292615,0.7575089143868756,0.7541631463449339,0.7540083286181064,0.7551927930323041,0.7555998181022963,0.001465341824864713,0.6263166730906607,0.6267676981062924,0.6278929502712963,0.6288914087571696,0.6281484152041098,0.6276034290859058,9.374338676406541E-4,50,10,0.002,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,4,0.001,0.05,[D@7cef4e59,4815162342
0.5286815281056658,0.5277561019617614,0.5280810183764203,0.5309648603523293,0.5889259411283895,0.5408818899849133,0.02404818405685111,0.4240573413057232,0.4240997231901865,0.42445612297508717,0.4236455602929487,0.42382706641437273,0.4240171628356637,2.7398599407189227E-4,75,2,0.002,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,6,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,6,0.001,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,6,0.002,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,0.003,0.05,[D@7cef4e59,4815162342
0.7130802092915052,0.5739923191189923,0.672670340755903,0.7171594671908252,0.6326496154321896,0.661910390357883,0.053614116784254935,0.44152547176907136,0.44203076253805457,0.4422126482581555,0.44145664918236516,0.4413586708494448,0.44171684051941823,3.3969968812235386E-4,75,4,0.002,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8,0.001,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,8,0.002,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2,0.003,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,10,0.001,0.05,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,10,0.002,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2,0.004,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,4,0.004,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,6,0.004,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,8,0.004,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2,0.001,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,4,0.001,0.1,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,10,0.004,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,2,0.004,0.2,[D@7cef4e59,4815162342
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,6,0.001,0.1,[D@7cef4e59,4815162342
