cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,learningRate,regularization,ratings,seed
0.7778731288462696,0.7792914126830213,0.7791139926732925,0.7609968275369658,0.7743188404348873,0.007710851987881536,0.5086421027778045,0.509446247587271,0.5080812553018113,0.5051843293739825,0.5078384837602173,0.0016073410945088374,100,6,0.001,0.01,[D@368102c8,4815162342
0.7880040824020115,0.7869246747078699,0.7983252546534495,0.7850135718526101,0.7895668959039852,0.005168784353992272,0.5189221349594751,0.5174199139162499,0.5187660887466834,0.5165517440375729,0.5179149704149953,9.800828953771205E-4,100,8,0.001,0.01,[D@368102c8,4815162342
0.7726052985341129,0.7660930951413638,0.7567909409486209,0.7605744036914157,0.7640159345788784,0.0059610493406037,0.4515446079327822,0.4526318871406776,0.4520728258524733,0.451005407265364,0.4518136820478243,6.046329648650475E-4,25,10,0.001,0.1,[D@368102c8,4815162342
0.6916029001446521,0.7234522090936513,0.7232646315270039,0.6999900840640148,0.7095774562073305,0.014096541297005624,0.4338875360528005,0.43327435686300064,0.4337264004103175,0.4327854895309846,0.4334184457142758,4.2903291468712154E-4,25,4,0.001,0.1,[D@368102c8,4815162342
0.641959957265763,0.6107115026815478,0.6700367533333454,0.6308929060620634,0.6384002798356799,0.02142759202548614,0.42245204541312104,0.42252286155650737,0.4232231174352454,0.42334621090660757,0.42288605882787034,4.0175500696309043E-4,25,2,0.001,0.1,[D@368102c8,4815162342
0.7692207622870791,0.7492377205820848,0.73967097633913,0.7422153793569328,0.7500862096413067,0.011589629984836045,0.4460475757686052,0.4464217869740821,0.44636873799194793,0.44533717402470674,0.4460438186898355,4.323752349456868E-4,25,8,0.001,0.1,[D@368102c8,4815162342
0.7504197382408029,0.7246242666804905,0.722348573520293,0.7542659810328202,0.7379146398686016,0.014514477980677658,0.4401682799500914,0.4409983668908408,0.4411753231024733,0.4405325528247476,0.4407186306920383,3.950731611127198E-4,25,6,0.001,0.1,[D@368102c8,4815162342
0.7645709622183865,0.7419143811333114,0.7579402813266614,0.7528473291308204,0.7543182384522948,0.00828035008060089,0.46949610050212925,0.4720195797054087,0.47252205520204904,0.47014223109027015,0.47104499162496427,0.0012595216384299586,75,6,0.001,0.1,[D@368102c8,4815162342
0.7421603357951978,0.7486255538479025,0.7513801752665316,0.7579526501273024,0.7500296787592335,0.005667791491571082,0.45951066066542157,0.45852610218841316,0.4569593106130789,0.45763716084614536,0.45815830857826473,9.582952815438016E-4,75,4,0.001,0.1,[D@368102c8,4815162342
0.7699225943894857,0.7831957290777752,0.7672336896356636,0.7668099712319905,0.7717904960837287,0.006692131745411045,0.48916050284580015,0.48529148114926535,0.4856226786759704,0.48551070815688896,0.48639634270698123,0.0016003284759660147,75,10,0.001,0.1,[D@368102c8,4815162342
