cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_avg,cummulativecoverage_std,numEpochs,numFactors,learningRate,seed
0.7625876695591544,0.7620580392833477,0.7636948756626947,0.763188529128767,0.762882278408491,6.164958050817077E-4,1.0,1.0,1.0,1.0,1.0,0.0,75,10,0.1,4815162342
0.7644306641247496,0.7639702361362032,0.7654824614677569,0.7638262443431226,0.7644274015179581,6.487588684179561E-4,1.0,1.0,1.0,1.0,1.0,0.0,75,6,0.1,4815162342
0.7642124308818238,0.7637501432140854,0.7652897363387035,0.763627899976945,0.7642200526028894,6.549314756896463E-4,1.0,1.0,1.0,1.0,1.0,0.0,75,8,0.1,4815162342
0.8006856462773025,0.7817512158566918,0.7764383714573869,0.7729847191476253,0.7829649881847516,0.01069693253293663,1.0,1.0,1.0,1.0,1.0,0.0,75,2,0.1,4815162342
0.7638811732727032,0.763418554477223,0.7649457896520667,0.7633375648774131,0.7638957705698516,6.407187269454531E-4,1.0,1.0,1.0,1.0,1.0,0.0,75,4,0.1,4815162342
0.7637122221034991,0.763276539948339,0.7648290885393108,0.7632247568572569,0.7637606518621014,6.452616089595844E-4,1.0,1.0,1.0,1.0,1.0,0.0,75,10,1.0,4815162342
0.7604611720881808,0.7601976486496188,0.7618339842646468,0.7603446558994553,0.7607093652254755,6.559791466120138E-4,1.0,1.0,1.0,1.0,1.0,0.0,75,6,1.0,4815162342
0.7644023546005528,0.7639434708686262,0.7654558438066822,0.7637965500685681,0.7643995548361073,6.494962592477787E-4,1.0,1.0,1.0,1.0,1.0,0.0,75,8,1.0,4815162342
0.7598530443759085,0.7595962316835627,0.7612658883130171,0.7598008039860634,0.7601289920896379,6.633666491947734E-4,1.0,1.0,1.0,1.0,1.0,0.0,75,2,1.0,4815162342
0.7620192729505458,0.7617015123042233,0.7632524195187154,0.7617486758806666,0.7621804701635377,6.306557886956414E-4,1.0,1.0,1.0,1.0,1.0,0.0,75,4,1.0,4815162342
0.005659949658855078,0.008118432036982374,0.007805771489304059,0.011648019228257868,0.008308043103349845,0.0021480263345974686,1.0,1.0,1.0,1.0,1.0,0.0,25,6,1.0E-4,4815162342
-0.2577170551914183,-0.2553885293733147,-0.255952264737159,-0.25099476590717185,-0.25501315380226597,0.002473932101183997,1.0,1.0,1.0,1.0,1.0,0.0,25,4,1.0E-4,4815162342
0.759890316258318,0.7599930662994977,0.761365786033625,0.7597758825787109,0.7602562627925379,6.451736650323676E-4,1.0,1.0,1.0,1.0,1.0,0.0,100,4,0.01,4815162342
0.32969183148506176,0.3318255105442377,0.3316452420492931,0.33591131182810036,0.3322684739766732,0.0022635143460528924,1.0,1.0,1.0,1.0,1.0,0.0,25,2,1.0E-4,4815162342
