cummulativemae_fold_0,cummulativemae_fold_1,cummulativemae_fold_2,cummulativemae_fold_3,cummulativemae_fold_4,cummulativemae_avg,cummulativemae_std,cummulativecoverage_fold_0,cummulativecoverage_fold_1,cummulativecoverage_fold_2,cummulativecoverage_fold_3,cummulativecoverage_fold_4,cummulativecoverage_avg,cummulativecoverage_std,numIters,numFactors,regularization,learningRate,scores,seed
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,20,0.15,4.0E-4,[D@291caca8,4815162342
0.8299363266590666,0.8301768450024912,0.8298560394105663,0.8298234637088959,0.8300884323619379,0.8299762214285916,1.3580231440252295E-4,0.9485707804468136,0.9488946479160539,0.9488516179859193,0.9486457239752194,0.9481752530808134,0.9486276046809639,2.5677746115038857E-4,75,30,0.15,1.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,20,0.1,5.0E-4,[D@291caca8,4815162342
0.8296047557190309,0.8296534638289509,0.8292387187833977,0.8292407256170028,0.8297364385820502,0.8294948205060866,2.125017903875571E-4,0.9348822604944663,0.9355541781685703,0.9348153261367372,0.9345728684788722,0.9348295914676951,0.9349308449492681,3.2943854312158816E-4,25,30,0.1,1.0E-4,[D@291caca8,4815162342
0.8267640228497294,0.8270233566220052,0.8266762368702251,0.826656686051161,0.8268002612627688,0.8267841127311779,1.3097845461279635E-4,0.9720399680269703,0.9716810824611481,0.9722375108242103,0.9718454808327982,0.9711929828898429,0.971799405006994,3.5599951247379183E-4,50,40,0.05,1.0E-4,[D@291caca8,4815162342
0.8290868671733723,0.8294095809503432,0.8286998766547266,0.8289091729364572,0.8292995294353246,0.8290810054300447,2.571126300615646E-4,0.8619430195475226,0.860669875959918,0.8611038560308004,0.8609467934727367,0.8604069807872727,0.86101410515965,5.220271578274026E-4,25,10,0.05,1.0E-4,[D@291caca8,4815162342
0.8265034543622979,0.8267733238755841,0.8264742443563645,0.8260626266298643,0.8266705116132793,0.826496832167478,2.4318746929676444E-4,0.9759564073543358,0.9765620020307508,0.9756291530106155,0.9766415679179098,0.9766102643151726,0.976279878925757,4.1173898360725346E-4,50,20,0.05,2.0E-4,[D@291caca8,4815162342
0.8304551261930977,0.8306395850770923,0.8303943848142405,0.8303329405842659,0.8307323378923751,0.8305108749122143,1.5096399954702612E-4,0.9785464009288621,0.9781223349364467,0.9787780280829054,0.9783296199143958,0.9784072565318996,0.978436728078902,2.1895095604293276E-4,50,20,0.1,4.0E-4,[D@291caca8,4815162342
0.8303051779403255,0.8305040864616388,0.8301041090352487,0.8300970868991397,0.8302357985135553,0.8302492517699817,1.4998000404979354E-4,0.9328208543191223,0.9329870341107842,0.933198876207137,0.9327035694457642,0.9323246442571453,0.9328069956679907,2.93099343924509E-4,25,40,0.2,1.0E-4,[D@291caca8,4815162342
0.8327379227054769,0.8329032053917574,0.8324894661321629,0.8325787972057263,0.8332228388819826,0.8327864460634211,2.599003950685167E-4,0.9380538651945789,0.9366848487139259,0.9378020185167447,0.9367136857347675,0.9376673028550891,0.9373843442030212,5.730362134395988E-4,100,10,0.15,4.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,10,0.1,4.0E-4,[D@291caca8,4815162342
0.8232308320020797,0.5639354217670834,0.8227199654829134,0.829253302114535,1.0,0.8078279042733223,0.13952184684943156,0.22184269317108407,2.7869984481230295E-5,0.21064644556270973,0.975917502263535,0.0,0.281686902196362,0.3603508077409352,75,10,0.05,2.0E-4,[D@291caca8,4815162342
0.8292217308021443,0.8294312208954665,0.8291389041715688,0.8290020047267311,0.829374238233774,0.8292336197659369,1.5593439489162237E-4,0.9653486876074544,0.9653361480296943,0.9655231028219431,0.9656151587416815,0.9641870340232407,0.9652020262448028,5.183581863295337E-4,100,40,0.15,1.0E-4,[D@291caca8,4815162342
0.8277538387607676,0.8279459018818903,0.8277015213474272,0.8276397213687074,0.8279254474806433,0.8277932861678872,1.2191570571483772E-4,0.9719318486786486,0.971843541698661,0.9720548540883285,0.9721199608885199,0.9709813963846923,0.9717863203477701,4.1371046510164195E-4,75,40,0.1,1.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,10,0.01,4.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,40,0.05,4.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,20,0.05,4.0E-4,[D@291caca8,4815162342
0.8286148148552317,0.8286492507261093,0.8284991080486062,0.8285109125003928,0.828537500926694,0.8285623174114068,5.9274158195346405E-5,0.9634667135604271,0.9634334328766935,0.9639717782669089,0.9636464155412612,0.9625377997491062,0.9634112279988795,4.766504788039904E-4,50,40,0.1,1.0E-4,[D@291caca8,4815162342
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,20,0.05,4.0E-4,[D@291caca8,4815162342
0.825682016370867,0.8259288024969337,0.8256774293992414,0.8255773820330531,0.8258652040717817,0.8257461668743755,1.302720808477109E-4,0.9812264727212088,0.9810386917819218,0.9812367287118844,0.9811324600303367,0.9812890061778721,0.9811846718846449,8.874585744048406E-5,75,40,0.05,1.0E-4,[D@291caca8,4815162342
